key,en,spa
key_test,this is a test,esta es una prueba
key_play,Play,Jugar
key_settings,Settings,Ajustes
key_credits,Credits,Créditos
key_more_games,More Games,Mas Juegos
key_master_sfx,Master,Global
key_music,Music,Música
key_sfx,SFX,SFX
key_dev,Developer,Desarrollo
key_art,Artists,Artistas
key_design,Design,Diseño
key_start,Start Packing,Comenzar a Empacar
key_cat,Plush Cat* Black and White,Gato de Peluche Blanco y Negro
key_cat_dialogue,I remember as a kid asking Santa for a cat. I ended up receiving this plushie instead. I became fond of it at the end.,Recuerdo que de niña pedí un gato de navidad y terminaron regalándome un peluche. Después me encariñé con él.
key_pack,Card Pack,Pack de Cartas
key_pack_dialogue,I found this in Dylan's room during the cleanup. I miss him so much.,Encontré esto en la habitación de Dylan durante la limpieza. Lo extraño tanto.
key_mug,Broken Mug,Taza Rota
key_mug_dialogue,This was a gift from my first boyfriend. Its so long ago* its kinda funny. Still* I could never force myself to throw it away.,Este fue un regalo de mi primer novio. Fue hace tanto* es un poco gracioso de recordar. De igual manera* nunca conseguí el valor para tirarla.
key_book,Used Book,Libro Gastado
key_book_dialogue,First book I ever read. I remember reading it again and again because I didn't own any other ones. I ended up memorizing most of it.,El primer libro que leí. Recuerdo leer una y otra vez porque no tenía ningún otro. Acabé memorizando gran parte.
key_lion,Plush Lion,Leon de Peluche
key_lion_dialogue,The one time I could beat one of those shady claw-machines.,La única vez que le gané a una de esas máquinas de peluches.
key_lamp,Foot Lamp,Lampara de Pie
key_lamp_dialogue,I remember this lamp was originally in my grandparents house. Then it moved into our living room. Then it moved in here. I wonder how many more travels it made that I don't know of.,"Recuerdo que esta lámpara estaba primero en la casa de mis abuelos. Luego, paso a estar a nuestra sala de estar. Luego, pasó a mi habitación. Me preguntó cuantos otros viajes habrá hecho de los cuales no conozco nada."
key_xilo,Xilophone,Xilófono
key_xilo_dialogue,My grandparents gave me this. I was just a kid and thought it was the best gift ever. My parents ended up taking it away from me because i played with it all day long and even some neighbours came to complain once.,Mis abuelos me regalaron esto. Era muy chica y pensé que era el mejor regalo del mundo. Mis padres acabaron sacandomelo porque molestaba todo el día con él* hasta el punto que incluso unos vecinos se quejaron una vez.
key_board,Marker Whiteboard,Pizarra de Marcadores
key_board_dialogue,I used this so much during high school. It helped me organize a lot.,Use tanto esto durante la secundaria. Me ayudó mucho a organizarme.
key_souvenir,Snow Souvenir,Souvenir de Nieve
key_souvenir_dialogue,We had planned that trip for months. I was so excited to learn how to ski. When we arrived* all courses were closed due to bad weather. I remember falling asleep in front of the fire after a cup of hot chocolate.,Planeamos ese viaje por meses* estaba tan emocionada por aprender a esquiar. Cuando llegamos todos los recorridos estaban cerrados por mal clima. Recuerdo quedarme dormida frente al fuego luego de una taza de chocolate caliente.
key_tooth,Old Tooth Box,Caja con Dientes de Leche
key_tooth_dialogue,My mother kept my first tooth. I thought it was creepy* but she kept on saving them in a box. The only ones that aren't here are the ones I never told her about.,Mi madre guardó mi primer diente. Yo pensé que era raro* pero ella siguió guardándolos en una caja. Los únicos que no están aquí son aquellos de los que nunca supo.
key_photos,Photo Strip,Tira de Fotos
key_photos_dialogue,This was the last time I saw him. Probably the best vacations I ever had* and still* for nothing in the world I'd see him again.,Esta fue la última vez que lo vi. Fueron probablemente las mejores vacaciones que tuve en mi vida* y aún así* no lo volvería a ver por nada del mundo.
key_painting,Painting,Cuadro Pintado
